COUNTY,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01045,36330,ENTERPRISE,AL,0.063451456,0.029072450,0.046849758,0.060990478
01045,36371,PINCKARD,AL,0.000000000,0.000461467,0.000000000,0.000029029
01045,36317,CLOPTON,AL,0.000600088,0.000461467,0.000000000,0.000580585
01045,36322,DALEVILLE,AL,0.159465605,0.248269497,0.198707593,0.165757083
01045,36353,NEWVILLE,AL,0.010264671,0.004614675,0.000000000,0.009724803
01045,36360,OZARK,AL,0.354020593,0.451776650,0.505654281,0.362894798
01045,36362,FORT RUCKER,AL,0.089760596,0.007383479,0.017770598,0.083284951
01045,36352,NEWTON,AL,0.031583602,0.012921089,0.003231018,0.029900139
01045,36010,BRUNDIDGE,AL,0.000031584,0.000000000,0.000000000,0.000029029
01047,36761,MINTER,AL,0.015365074,0.012107623,0.000000000,0.014185398
01047,36773,SAFFORD,AL,0.009096124,0.002242152,0.000587199,0.008045450
01047,36767,ORRVILLE,AL,0.043718758,0.009865471,0.014092777,0.039274498
01047,36758,PLANTERSVILLE,AL,0.017536671,0.006278027,0.000587199,0.015632168
01047,36749,JONES,AL,0.011759403,0.002690583,0.006459190,0.010727266
01047,36775,SARDIS,AL,0.020199951,0.006278027,0.002348796,0.018031688
01047,36785,TYLER,AL,0.007047447,0.003139013,0.000000000,0.006316384
01047,36701,SELMA,AL,0.545398672,0.591031390,0.641221374,0.554747874
01047,36703,SELMA,AL,0.293247562,0.351569507,0.334116265,0.300292883
01047,36759,MARION JUNCTION,AL,0.036630337,0.014798206,0.000587199,0.032746392
01049,35962,CROSSVILLE,AL,0.090073114,0.041589989,0.110256410,0.087394337
01049,35971,FYFFE,AL,0.063616492,0.035701141,0.065384615,0.061896623
01049,35968,FORT PAYNE,AL,0.100499987,0.184762606,0.067948718,0.105201164
01049,35989,VALLEY HEAD,AL,0.043868245,0.015090173,0.012820513,0.041503072
01049,35954,ATTALLA,AL,0.001859250,0.000368053,0.000000000,0.001732182
01049,35957,BOAZ,AL,0.026506872,0.006256901,0.006410256,0.024874128
01049,35975,GROVEOAK,AL,0.014019748,0.001840265,0.000000000,0.013002910
01049,35961,COLLINSVILLE,AL,0.055953368,0.023923445,0.032051282,0.053512864
01049,35986,RAINSVILLE,AL,0.114670486,0.108943688,0.096153846,0.113977551
01049,35967,FORT PAYNE,AL,0.208939474,0.423260950,0.375641026,0.225391473
01049,35966,FLAT ROCK,AL,0.019597498,0.011409643,0.010256410,0.018915423
01049,35978,HENAGAR,AL,0.069897741,0.055207950,0.041025641,0.068455818
